id,title,ingredients,steps
3d1cbf4c-afc1-480f-b07a-0ac0de7a8837,Delicioso arroz frito con atún,1 lata de Atún Van Camp’s. 1/2 taza de Zanahoria y arvejas o en cuadritos. 1 taza de Arroz ya preparado. 1/4 de Cebolla cabezona en cuadritos. 1 cucharada de Aceite de oliva. 1 cucharada de Salsa de soya. Pimienta al gusto.. 1 cucharadita de semillas de ajonjolí. 1 cucharadita de cebollin picado,"En una sartén caliente sofríe la cebolla, agrega la zanahoria y las arvejas. Deja dorar un par de minutos. Agrega el arroz, el aceite de oliva, la salsa soya y la pimienta. Mezcla todo muy bien, agrega el atún, espolvorear con semillas de ajonjolí y el cebollín. Solo queda servir."
9839d4f7-2062-4255-b5ce-d45c7a787b36,Ensalada rápida con atún,1 lata de Atún Van Camp’s. 1 taza de Lechuga picada. 1/2 pepino cohombro. Tajadas de salami o jamón en cuadritos. 1 cucharada de queso mozzarella rallado. 1 cucharada de Aceite de oliva. 1/2 cucharada de Vinagre de vino. 1 cucharadita de Mostaza dijon. Sal y pimienta al gusto,"Mezcla los ingredientes para la vinagreta con la mitad al atún. En un bowl mezcla la lechuga, el pepino, el salami o jamón y el queso. Agrega la segunda mitad del atún."
5acef3af-3bfb-4916-983c-85ce5166fb3f,Huevos endiablados con atún,"4 huevos duros pelados y partidos a la mitad,. 1 lata de Atún Van Camp’s en agua.. 1 cucharada de cebolla morada en cuadritos. 1/3 de cucharada de mayonesa light o yogurt griego.. 1 cucharada de vinagre de vino o balsámico. 1 cucharadita de cebollín o perejil fresco","En un bowl aplastar y mezclar las yemas de huevo con el atún, el yogurt y el vinagre. Poner las cucharadas colmadas en cada mitad de los huevos y decorar con el cebollín o perejil. "
1bbb8069-8554-400b-9ccf-f5467cb891bb,Wraps de Lechuga,"5 hojas de lechuga Batavia lavadas y secas. 2 cucharada de yogurt o mayonesa . 1 lata de Atún Van Camp’s. 1/2 tomate chonto picado en cuadritos . 2 tajadas de queso o 1 cucharada de queso rallado.. 4 tajadas delgadas de rábano con sal pimienta y limón . Pimienta, salvia y orégano . Salsa picante (opcional). Papel aluminio o parafinado","Mezclar el atún con la mayonesa, el tomate picado y el queso, agregar la pimienta, salvia y orégano. Agregar la salsa picante e integrar. Extender las hojas de lechuga sobre el papel parafinado, poner el queso, encima agregar la mezcla de atún, el rábano y enrollar, partir por la mitad y disfrutar."
2892e043-1873-4f70-a27f-55527219389d,Instrucciones para preparar Papas rellenas,4 Papas grandes. 3 cucharadas de Aceite de oliva. Sal y pimienta la gusto. 1 lata de Atún Van Camp´s. 1/2 cebolla cabezona picada en cubos. 2 cucharadas de queso crema. 2 cucharadas de queso cheddar. 1 cucharada de cebollin. 1 pizca de paprika. 1/4 de taza de queso mozzarella,"Fritar las papas con un 1/2 cucharadita, cada una, de aceite de oliva, sal y pimienta. Pincharlas con un tenedor y hornearlas  a 200 ºC por 30-40 minutos o hasta que estén crocantes por fuera y puedas pincharlas con un cuchillo fácilmente. Mientras tanto, aparte, en una sartén dora la cebolla con 1 cucharada de aceite de oliva, sal y pimienta. Agrega el ajo, el atún, el queso crema, el queso cheddar, la paprika y 1 cucharada de queso crema."
dab09124-f516-4fde-82b0-6fd492f14ebc,Mix de atún con papas,"4 papas pequeñas cortadas en cubos y cocidas. 1 cucharada de cebolla en cuadritos. 1/2 diente de ajo. Laurel, Tomillo, Orégano, mejorana al gusto. 1 cucharada de aceitunas picadas. 1 cucharada de alcaparras. 1 lata de Atún Van Camp´s. 1 cucharada de perejil picado. Sal y pimienta al gusto. Salsa picante o ají (opcional). 1 tomate chonto picado en cubos. 1/2 diente de ajo. 1/4 de cebolla cabezona picada en cuadritos","En una sartén con aceite dorar las papas por todos lados, cuando estén doradas, retirarlas de la sartén y reservar. Licúa los ingredientes de la salsa, el tomate, el ajo y la cebolla. Mientras tanto en la sartén pon a dorar la cebolla en cuadritos y el ajo, cuando esté dorado, agrega la salsa licuada y cocina por unos 3 minutos. Agrega las especias, los pepinillos, las alcaparras y deja cocinar por unos 2 minutos más, sigue con el atún e integra muy bien. Agrega las papas en cubos y sirve inmediatamente - Sirve espolvoreando con perejil"
b0e78d43-8bc3-4baa-834b-cf148263504a,Pasta cremosa con atún,1 lata de atún. Paprika en polvo. Polvo de ajo 100g de pasta seca. 1 cucharada de pasta de ajo. 120ml de leche. 10 g de mozzarella. Perejil. Arun,"Cocinar la pasta en agua hirviendo de acuerdo con las instrucciones del empaque. Mientras tanto, adobar el atún con ajo en polvo y paprika y mezclar bien. En una sartén, poner la pasta de ajo, la leche, el queso mozzarella, el perejil, la pimienta al gusto, integrar muy bien y agregar la pasta y el atún. Adicionar sal al gusto."
09ee39d3-8c6b-4442-8de9-54f735817f2f,Omelette verde con atún,"2 huevos. 2 hojas de espinaca grandes troceadas. 1 lata de Atún. Sal y pimienta al gusto. 2 cucharadas de Pimentón en cubos. 1 cucharada de tomate seco picado. 2 cucharaditas de Queso crema. 2 tazas Hojas de Mizuna, rúcula o espinaca.. Tajadas de rábano","Licua los huevos con las hojas de espinaca en trozos, agrega sal y pimienta al gusto. En una sartén caliente pon la mezcla, cuando esté cocida, agrega el pimentón, los tomates secos y el atún. Enrolla lentamente y retira del fuego con cuidado de no romper la tortilla Servir decorando con queso crema y acompañado de ensalada."
63e34ebb-ff6a-4052-add3-2afaf02fe805,Bocados de atún y tocineta,1 lata de Atún Van Camp´s. 1 pizca de Paprika. 1 pizca de albahaca seca.. 12 láminas de zucchini. 12 tajadas de tocineta . 1 cucharada de pulpa de lulo. 2 cucharada de miel,"Separa el atún con ayuda de un tenedor y, mézclalo con paprika y albahaca. Ubica una lámina de tocineta y encima de esta, coloca  una de zucchini. Después en un extremo, añade la cucharada de atún y enrolla. Luego, repite el proceso con la tocineta sola o con otra lámina de zucchini, enrollando en otro sentido y continúa, hasta acabar las láminas. Hornea en la airfryer a 180ºC por 15 minutos. Mientras tanto, mezcla la pulpa de lulo con la miel.  Para finalizar, sirve junto con la mezcla y disfruta. "
698f154c-158d-48c7-8288-3630a0f0ab89,Ensalada atún y toronja,"1 lata de Atún Van Camp´s. Ralladura de 1/2 toronja. Zumo de media  toronja. 1 cucharada de pulpa de lulo. 1 cucharadita de Jengibre rallado. 1 diente de ajo machacado. Sal al gusto. Hojas de 4 cogollos de lechuga. 1/4 de cebolla roja en plumas . 1/2 Tomate en cubos ","Mezcla el atún con el jengibre, el ajo, la sal, la pulpa de lulo, la ralladura y el zumo de toronja. Deja marinar durante 5 minutos. Mientras tanto, lava las hojas de lechuga y ubícalas en un plato, sobre ellas coloca las plumas de cebolla y el tomate en cubos. Luego, finaliza con la mezcla de atún marinado. "
d15f3aaa-b8d2-44b7-820f-e98a5135c97f,Risotto de atún con tomate,2 latas de Atún Van Camp’s. 1 taza de arroz arborio. 2 tazas de caldo de pescado o verduras. 1 cucharada de mantequilla. 1 cebolla picada en cuadritos. 2 tomates chonto en cubos. 3/4  de parmesano. 50 g de pimentón picado en cuadritos,"Saltea en mantequilla, la cebolla y el pimentón. Agrega el arroz y deja dorar, hasta que esté traslúcido. Agrega la mitad del caldo, tapa y deja cocinar a fuego bajo, hasta que el líquido se haya reducido por debajo del nivel del arroz. Luego, añade el resto del caldo, cuando reduzca por completo, agrega el tomate, el atún, el queso e integra y deja cocinar alrededor de 2 a 3 minutos.  "
2db5ae0c-c976-4911-bd5a-e25737682e72,"Ensalada de sandía, queso con menta y atún",1 lata de Atún Van Camp’s. 2 tazas de cubos de sandía. 4 mini boconccini. Las hojas de 1 rama de yerbabuena,"Corta la sandía, en cubos. Agrega los cubos de sandía en un plato y encima desmenuza con los dedos los bocconcini. Después, agrega el atún y las hojas de menta. No es necesaria vinagreta, pues los líquidos de la sandía, los aromas de la menta, el sabor del atún y la sal del queso, son la combinación perfecta."
e56c0a3e-5134-4d7c-ba08-c740f7651096,Torta de atún con huevo,"110 g Crema de Leche. 1 latas grandes de Atún Van Camp’s. 1 huevo. 1/2 cucharadas de aceite. 1/4 cebolla cabezona. 1/4 pimentón rojo. 1/4 pimentón verde. 1/4 lata pequeña de maíz. Sal y pimienta al gusto ","En una sartén pon a sofreir todos los vegetales, luego añade el atún y mezcla muy bien hasta que todo quede perfectamente integrado.  En otro recipiente mezcla muy bien la crema de leche con el huevo y luego agrega la mezcla de la sartén a este recipiente. Para finalizar lleva a un molde engrasado y hornea por 25-30 a 180 C, emplata y listo."
