ingredients,step,url,title,uuid
      1/2 taza de yogur desnatado.  2 cucharadas de miel.    ,Se mezcla todo en un recipiente y lista. Esta salsa es ideal para añadirla a   fruta fresca.,https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1070,Recetas de cocina y trucos de cocina,ca95a1a7-8335-424d-8982-3c39a4fb1c6f
"      6 cucharadas de zumo de tomate.  2 cucharadas de zumo de limón.  1 ó 2 cucharadas de salsa inglesa.  1 cucharada de hierbas picadas (perejil, menta o cebolleta).  Sal.d  Pimienta negra.    ",Pon todos los ingredientes en un cuenco y remuévelo bien. Prueba y rectifica al gusto. Viértelo en la ensalada en el momento de servir. ,https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1071,Recetas de cocina y trucos de cocina,62d8d85b-0645-4621-b75b-b3c6c838ba71
      Medio vaso de zumo de naranja o pomelo.  1 ó 2 cucharadas de menta picada.  Sal.  Pimienta negra.    ,"Pon todos los ingredientes en un cuenco, remuévelo bien. Prueba y rectifica al gusto. Viértelo en el momento de servir. ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1072,Recetas de cocina y trucos de cocina,cc96ca95-1bd7-423b-af0f-ae7590f3563e
      2 1/2 tazas de zumo de naranja.  3 cucharadas de zumo de limón.  2 cucharadas de zumo de lima.  3/4 taza de salsa de soja.  1 cucharada de vinagre al estragón.  1/3 taza de jengibre fresco picado.  3 cucharadas de aceite de oliva.    ,"En una sartén grande mezcla los zumos de frutas, la salsa de soja, el vinagre, el aceite y el jengibre. Cuécelo a fuego lento durante 15 minutos. A continuación pasa la salsa por un colador fino y sírvela caliente. Es una buena acompañante para pescados. ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1073,Recetas de cocina y trucos de cocina,6f929eb6-1517-4082-9141-db7dafe44ad8
"      40 gramos de mantequilla.  1 bulbo de hinojo, finamente cortado.  2 cucharaditas de harina.  Ralladura de un limón.  1 vaso de zumo de limón.  150 ml de agua.  1 cucharada de hojitas de hinojo trituradas.  1 cucharadita de azúcar.  Sal y pimienta blanca fresca molida.    ","1. Disuelve la mantequilla en una sartén, añádele el hinojo y remuévelo. Tapa la sartén y ponla a fuego suave durante 5 minutos para que se ponga blando el hinojo.  2. Añade la harina y cuece durante 30 segundos, a continuación añade removiendo la ralladura de limón el zumo y el agua. Llévalo a ebullición y manténlo durante unos 2 minutos hasta que espese. Añádele las hojitas de hinojo y el azúcar si es necesario. Sazona con sal y pimienta a tu gusto. Es ideal para acompañar platos de pescado fresco, salmón o pollo.  1. Disuelve la mantequilla en una sartén, añádele el hinojo y remuévelo. Tapa la sartén y ponla a fuego suave durante 5 minutos para que se ponga blando el hinojo.  2. Añade la harina y cuece durante 30 segundos, a continuación añade removiendo la ralladura de limón el zumo y el agua. Llévalo a ebullición y manténlo durante unos 2 minutos hasta que espese. Añádele las hojitas de hinojo y el azúcar si es necesario. Sazona con sal y pimienta a tu gusto. Es ideal para acompañar platos de pescado fresco, salmón o pollo. ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1074,Recetas de cocina y trucos de cocina,7720d1e2-17f9-4656-ac79-ffa120ea1b3c
"         1 langosta de 3/4 de kilo, cocida, o 250 gramos de carne de langosta, ya cocida, cortada en pedazos, más bien pequeños.  5 tazas de agua o de consomé de pescado.  20 o 25 hebras de azafrán.  2 cucharadas de mantequilla.  1 cucharada de aceite.  1 taza de cebolla, picadita.  2 dientes de ajo, machacados.  1/2 cucharadita de tomillo seco, molido o 2 ramitas, si es fresco.  1 cucharadita de sal.  1/8 de cucharadita de pimienta blanca, recién molida.  1 cucharada de mantequilla o de aceite.  1 taza de arroz.  1/2 taza de vino blanco seco.  2 cucharadas más de mantequilla.  1/2 taza de queso parmesano rallado finamente (opcional) .    ","1.Se corta la carne de langosta en pedazos pequeños.  2.En una olla se pone al fuego el agua o el consomé. Se lleva a un hervor y se mantiene a fuego muy suave, casi a puntor de hervir pues se utilizará en esa forma. En una taza de ese consomé, se pone aparte el azafrán seco a remojar.  3.En otra olla, donde se preparará el risotto, se ponen la mantequilla, el aceite, la cebolla, el ajo, el tomillo, la sal y la pimienta y se cocinan hasta marchitar la cebolla, unos 3 ó 4 minutos. Se agrega la langosta y se cocina por 3 minutos. Se saca la langosta del caldero con una cuchara perforada, escurriendo bien la grasa y se pone aparte.  4.Se agrega una cucharada de mantequilla o aceite a la olla y se agrega el arroz y, revolviendo, se cocina hasta que el arroz esté brillante y cubierto por la grasa, 1 minuto.  5.Se agrega el vino y se cocina hasta que se consuma casi completamente, unos 2 minutos.  6.Se agrega gradualmente el agua o el consomé caliente, 1/2 taza cada vez y se cocina, revolviendo constantemente hasta que se consuma completamente para agregar la siguiente. Se agrega la langosta después de agregadas y consumidas 6 porciones (3 tazas) del consomé. El azafrán se agrega después de agregadas 7 a 8 porciones de agua o de consomé. Se comprueba el punto de sal y de pimienta y se cocina hasta que el arroz se sienta cocido, pero firme, unos 25 minutos después que se agrega el arroz a la olla. Se eliminan las ramitas de tomillo si se le ha utilizado fresco. Se apaga el fuego y se le revuelven las 2 cucharadas restantes de mantequilla y, si se quiere, el queso parmesano. Se sirve de inmediato.  1.Se corta la carne de langosta en pedazos pequeños.  2.En una olla se pone al fuego el agua o el consomé. Se lleva a un hervor y se mantiene a fuego muy suave, casi a puntor de hervir pues se utilizará en esa forma. En una taza de ese consomé, se pone aparte el azafrán seco a remojar.  3.En otra olla, donde se preparará el risotto, se ponen la mantequilla, el aceite, la cebolla, el ajo, el tomillo, la sal y la pimienta y se cocinan hasta marchitar la cebolla, unos 3 ó 4 minutos. Se agrega la langosta y se cocina por 3 minutos. Se saca la langosta del caldero con una cuchara perforada, escurriendo bien la grasa y se pone aparte.  4.Se agrega una cucharada de mantequilla o aceite a la olla y se agrega el arroz y, revolviendo, se cocina hasta que el arroz esté brillante y cubierto por la grasa, 1 minuto.  5.Se agrega el vino y se cocina hasta que se consuma casi completamente, unos 2 minutos.  6.Se agrega gradualmente el agua o el consomé caliente, 1/2 taza cada vez y se cocina, revolviendo constantemente hasta que se consuma completamente para agregar la siguiente. Se agrega la langosta después de agregadas y consumidas 6 porciones (3 tazas) del consomé. El azafrán se agrega después de agregadas 7 a 8 porciones de agua o de consomé. Se comprueba el punto de sal y de pimienta y se cocina hasta que el arroz se sienta cocido, pero firme, unos 25 minutos después que se agrega el arroz a la olla. Se eliminan las ramitas de tomillo si se le ha utilizado fresco. Se apaga el fuego y se le revuelven las 2 cucharadas restantes de mantequilla y, si se quiere, el queso parmesano. Se sirve de inmediato. ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1075,Recetas de cocina y trucos de cocina,7fef8621-ef2a-492d-b4ee-473c00caee20
"      1 pato de tamaño medio o 2 pequeños, sin cabeza ni vísceras.  1 piña grande.  1 cucharada sopera de zumo de piña.  4 cucharadas soperas de aceite de oliva.  sal y pimienta.  1 cucharada sopera de caldo de carne.  1 vaso pequeño de vino blanco.  1 chorro de vinagre.  el zumo de 1 limón.  20 guindas.  4 cucharadas soperas de arroz largo.  4 cucharadas soperas de arroz redondo.    ","Calentar el horno a 210º. Colocar el pato en la bandeja del horno. Salpimentar, regar con 2 cucharadas soperas de aceite de oliva. Asar durante 1 h aproximadamente regándolo de vez en cuando con el jugo de la cocción. Mientras, pelar la piña y eliminar el corazón antes de pelarla en rodajas finas. Caramelizarlas en una sartén con 3 cucharadas de azúcar. Cocer los dos tipos de arroz, escurrirlos y reservarlos calientes, al igual que las rodajas de piña. Cortar 4 rodajas en 6 trozos. Escurrir las guindas y formar unas brochetas con las guindas y los trozos de piña. Reservar. Sacar el pato del horno y reservarlo caliente en una olla. Desglasar el jugo de la cocción con el vino blanco y el caldo de carne hasta despegarlo del fondo. Preparar un caramelo con el azúcar sobrante y 1 cucharada de café de agua y añadir el vinagre. Echar este caramelo sobre el jugo de la cocción. Cocer 3 min. Añadir el zumo de la piña y del limón. Reducir durante 5 min y pasar por el chino. Batir la salsa con el aceite sobrante. Servir enseguida con el pato decorado con las brochetas de piña y guindas y rodeado del arroz que se había reservado.  ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1076,Recetas de cocina y trucos de cocina,49e94146-d7cf-4efb-bc5d-481389e2cb05
      1 Cebolla.  3 Zanahorias.  3 Puerros.  3 Manzanas.  1/2 Piña.  Coco rallado.  Batido de coco (Mangaroca).  1/2 litro caldo de ave.  sal y aceite.  1 kiwi.  1 phisalys.    ,"Se cortan muy fino las verduras y se fondean con un poco de aceite. Cuando comiencen a ablandarse se añade las manzanas, la piña, el coco y la batida de coco. Añadir el caldo y dejar hervir. Una vez que están blanda la fruta, se tritura y se pasa por un colador chino.Se pone al punto de sal. Se decora con bolas de Kiwi y un phisalys.    Se cortan muy fino las verduras y se fondean con un poco de aceite. Cuando comiencen a ablandarse se añade las manzanas, la piña, el coco y la batida de coco. Añadir el caldo y dejar hervir. Una vez que están blanda la fruta, se tritura y se pasa por un colador chino.Se pone al punto de sal. Se decora con bolas de Kiwi y un phisalys.   ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1077,Recetas de cocina y trucos de cocina,fff2a37f-bbf8-42f4-809f-fdfb6d176dc1
      Endivias.  Escarola.  Lombarda.  Queso cheeddar.  Aceitunas negras.  Pasas de corinto.  Manzana golden (se pueden añadir granos de granada).    ,"Partir todos los ingredientes, se aconseja en pequeños trozos. Hacer la vinagreta fuera del bol de la ensalada. Usar, según gustos, vinagre de manzana o vinagre de vino. También se puede añadir una cucharadita de mostaza en la vinagreta. Una vez realizada, verterla sobre la ensalada, remover muy bien y echar, por último, las nueces y las pasas. ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1078,Recetas de cocina y trucos de cocina,a62c3bdb-21a3-4bae-be38-f93b218a616b
      Pan de chapata.  4 higos o brevas.  4 lonchas grandes de jamón ibérico.    ,"Cortar el pan de chapata en rebanadas no demasiado gruesas. Lavar los higos o brevas y cortarlos en láminas. Colocar las láminas sobre las rebanadas de pan. Colocar después las lonchas de jamón, y sobre ellas las de queso. Precalentar el horno a temperatura media, y meter las rebanadas sobre una fuente de horno. Vigilar hasta que el queso se haya fundido y sacarlas del horno. Servir caliente. ",https://www.abc.es/recetas-cocina/receta-cocina.asp?cocina=1079,Recetas de cocina y trucos de cocina,135c8419-8d17-4a1c-ab32-25174575346d
