title,date,url,ingredients,steps
Receta de sardinas guisadas al microondas,2019-08-10 11:00:17+00:00,https://okdiario.com/recetas/receta-sardinas-guisadas-microondas-4459290/,12 sardinas. ½ kg de tomate natural triturado. 1 cucharada de pan rallado. 1 cucharada de queso rallado. 1 cebolla. 1 diente de ajo. 1 hoja de laurel. Perejil. Aceite de oliva. Sal,"Las sardinas son un tipo de pescado muy fácil de limpiar, nos las pueden dejar perfectas en la pescadería. Les quitaremos la espina y la cabeza, dejando solo los lomos. Queda bien de esta forma sin tener que preocuparnos de las espinas y, además, se cocinan muy rápidamente.. Las salpimentamos al gusto y las reservamos, mientras seguimos con el resto de los ingredientes. Pelamos y picamos muy finitos la cebolla y el ajo, la base de este sofrito para el guiso.. Ponemos en una fuente apta para microondas con tapa un buen chorrito de aceite. Colocamos la cebolla y el ajo con la hoja de laurel. Cocinamos esta base a máxima potencia en el microondas durante unos 3 minutos, hasta que estén tiernos estos dos ingredientes.. Añadimos a la cebolla y el ajo el tomate natural triturado. Lo podemos comprar ya enlatado o preparar en un momento si tenemos tomates frescos en la nevera. Salpimentamos al gusto y le ponemos media cucharada de azúcar.. Introducimos de nuevo en el microondas a máxima potencia 7 minutos. Retiramos el laurel y colocamos las sardinas en capas. En la base de la fuente unas pocas, encima la salsa y volvemos a poner más sardinas, coronamos con la salsa de tomate.. Por encima colocamos el pan rallado y el queso para darle un sabor especial. Añadimos perejil picado. Ponemos de nuevo en el microondas durante unos 3 minutos. Comprobamos que las sardinas están listas.. Este plato lo podemos servir en frío o en caliente, las sardinas estarán de lujo. Las podemos acompañar de una ensalada o unas patatas, tendremos listo un plato completo y delicioso ideal para toda la familia."
Receta de merluza con crema de pimientos,2019-08-10 10:00:37+00:00,https://okdiario.com/recetas/receta-merluza-crema-pimientos-4459210/,2 rodajas de merluza. Aceite de oliva. Sal. Ingredientes para la crema de pimientos:. 2 pimientos rojos. 1/2 cebolla. 1 dientes de ajo. Medio litro de caldo de verduras,Colocar aceite en una olla con profundidad.. Pelar y picar las cebollas en juliana.. Pelar y picar el diente de ajo. Rehogar la cebolla picada y el ajo en la olla con aceite. Colocar sal al gusto.. Lavar y picar los pimientos en trozos medianos. Eliminar las semillas y el tallo.. Añadir todos los pimientos picados dentro de la olla con la cebolla y el aceite. Dejar que se cocine durante 15 minutos.. Agregar ¼ de litro de agua a la olla y el caldo. Dejar que se cocine otros 15 minutos y dejar que se reduzca un poco. Poner a punto de sal.. Retirar de la olla y colocar en un recipiente. Triturar o licuar la crema de pimientos hasta que no queden trozos sólidos.. Colocar las merluzas en una bandeja de hornear. Dar un punto de sal.. Agregar aceite de oliva y un poco de la crema de pimientos.. Precalentar el horno a 180 grados centígrados.. Dejar hornear la merluza con la crema durante 15 minutos.
Receta de helado vegano de cúrcuma,2019-08-10 09:00:57+00:00,https://okdiario.com/recetas/receta-helado-vegano-curcuma-4459183/,1 lata de leche de coco. 500 ml de leche de arroz infusionada con cúrcuma. Coco rallado. 1 cucharada sopera de cúrcuma en polvo. 1 cucharadita de cardamomo en polvo. 1 cucharadita de jengibre en polvo. 1 plátano. Jengibre deshidratado para decorar (opcional). 3 cucharadas de miel,"Para preparar un buen helado vegano, en este caso de cúrcuma debemos prestar especial atención a cada uno de los ingredientes. Para darle la consistencia necesaria sin usar leche o nata usaremos dos ingredientes esenciales que tendremos preparados.. Ponemos la leche de coco al revés en el congelador o la nevera. De esta manera conseguiremos que se separen las grasas de la propia leche, podremos utilizarla de la mejor manera posible en este helado.. Con el plátano vamos a hacer una base saludable. Pelamos el plátano y lo cortamos en trocitos del mismo tamaño. Lo pondremos en el congelador un día antes para que tenga la consistencia adecuada y lo podamos utilizar como base.. Vamos a ponernos manos a la obra, la leche de coco se habrá separado. Cogemos la parte sólida, la ponemos en un bol y la otra parte su líquida en otro.. Ponemos la parte solida en el vaso de la batidora, añadimos el coco y la bebida de arroz infusionada con un poco de cúrcuma, batimos.. Le añadimos en ese momento el plátano congelado, las especias y volvemos a batir. Tendremos de esta manera un helado con mucho sabor. Llegados a este punto podemos endulzarlo con un poco de miel, si queremos disfrutar de ese toque un poco más intenso.. Repartimos el helado en recipientes y lo ponemos en el congelador. Lo serviremos con un poco de jengibre deshidratado por encima o coco rallado. Solo nos quedará probarlo y disfrutarlo, tendremos listo un helado vegano saludable impresionante."
Receta de Pastel de berenjena y calabacín,2019-08-10 08:00:01+00:00,https://okdiario.com/recetas/receta-pastel-berenjena-calabacin-4459185/,2 berenjenas. 2 calabacines. 2 tomates. 300 gr de queso mozzarella. 300 gr de jamón. 3 huevos. 250 ml de nata. Sal y pimienta. Aceite de oliva. Queso parmesano rallado,"Lavar y cortar los vegetales en rodajas finas.. Colocar la berenjena en un recipiente y cubrir con sal. Dejar reposar durante 20 minutos. Esto ayuda a eliminar el sabor amargo del vegetal.. Pasado ese tiempo, enjuagar bajo el grifo y secar con papel de cocina.. Calentar una sartén o plancha con un hilo de aceite.. Tostar las rodajas de calabacín y berenjena durante un minuto de ambos lados.. Mezclar la nata con los huevos. Salpimentar al gusto.. Precalentar el horno a temperatura moderada con calor arriba y abajo.. Engrasar ligeramente una fuente refractaria.. Montar el pastel, colocando capas de verduras con queso y jamón cortados en cuadrados pequeños.. Terminar con una capa de verduras, otra de queso y jamón. Por último, verter la mezcla de huevos y nata. Mover la fuente para que la mezcla cubra bien todos los ingredientes.. Espolvorear queso rallado.. Hornear durante 20 minutos o hasta que el pastel de berenjena y calabacín se vea gratinado.. Acompañar el plato con carnes a la plancha o arroz blanco."
Receta de Gelatina de natillas,2019-08-09 18:00:48+00:00,https://okdiario.com/recetas/receta-gelatina-natillas-4457905/,2 tazas de leche desnatada. Edulcorante al gusto. 1 cucharada sopera de esencia de vainilla. 1 sobre de gelatina sin sabor de 7 gr. 1 limón (ralladura de la piel). Fresas o frambuesas para decorar (opcional),"Poner la leche desnatada en una cacerola. Añadir la ralladura del limón y agregar la cucharada sopera de esencia de vainilla.. Calentar a fuego medio-alto hasta que llegue a punto de ebullición. Una vez que hierva, tapar y retirar la cacerola del fuego. Dejar enfriar.. Cuando la mezcla esté fría, agregar la cantidad de edulcorante deseada.. En un vaso, añadir agua bien fría hasta la mitad. Diluir el sobre de gelatina, remover y dejar reposar durante 3 minutos.. A continuación, colar la leche para retirar la piel del limón. Verter nuevamente la leche a la cacerola y dejar calentar a fuego medio hasta que comience a humear, sin que llegue a hervir.. Inmediatamente, agregar el contenido con gelatina, remover con ayuda de un batidor de varillas para mezclar muy bien los ingredientes. Retirar del fuego.. Distribuir la gelatina de natillas en varios cuencos. Refrigerar en la nevera durante 2 o 3 horas antes de servir.. Se pueden decorar las gelatinas de natillas colocándoles dos fresas o frambuesas por encima. (es opcional)."
Receta de Ensalada templada de ternera marinada,2019-08-09 16:00:35+00:00,https://okdiario.com/recetas/receta-ensalada-templada-ternera-marinada-4457163/,300 g de cebolla roja. 250 g de ternera en tiras. 300 g tomates. 2 lechugas romanas. Dos cucharadas de vinagre. Dos cucharadas de salsa de soja. 1 pepino. 2 dientes de ajo. 1 y media cucharada de Harina de trigo. Sal. Azúcar,"Pelar y picar la cebolla en dados pequeños. . Sofreír en sartén el ajo y la cebolla picada.. Colocar en un recipiente la carne y una cucharada y media de azúcar.. Añadir la harina de trigo a la carne dentro de una sartén.. Agregar el vinagre y la soja a la carne. Dejar marinar durante un rato.. Freír la mezcla y añadir la cebolla y el ajo. Cocinar la carne en el punto de nuestra preferencia, sin dejar que los líquidos hiervan por completo.. Lavar y servir la lechuga en el plato como base de la ensalada.. Picar los tomates en rodajas y colocar encima de la lechuga.. Picar en trozos la carne y mezclar con la lechuga y el tomate.. Corregir el vinagre y la sal."
Receta de batido de leche tropical,2019-08-09 15:00:59+00:00,https://okdiario.com/recetas/receta-batido-leche-tropical-4457009/,4 huevos. 1 limón. 1 naranja. 150 gr de azúcar. ½ l de leche. 200 gr de piña,"Vamos a preparar un batido de leche tropical ideal para una merienda llena de sabor o para darle un toque elegante a ese cóctel final de la noche que pondrá el broche de oro a una velada espectacular.. Ponemos la leche en un cuenco para introducirla al microondas. Podemos hacerlo en un cazo también, la calentamos.. Mientras la leche se calienta vamos a batir los huevos con el azúcar. Nos interesa que quede una salsa espumosa que haya doblado su tamaño. Estos huevos le darán la textura adecuada a nuestro batido y le aportarán una dosis extra de proteínas. Una combinación que con la piña es perfecta incluso como cena o comida de capricho rápida.. Tenemos los huevos y el azúcar batidos, por encima iremos poniendo la leche caliente. Sin dejar de remover nos interesa que vaya cogiendo consistencia. Debemos evitar que los huevos se cuajen, es muy importante hacer este paso poco a poco.. Preparamos la piña, la vamos a pelar y cortaremos en trocitos del mismo tamaño. Los ponemos directamente en la batidora. Haremos una crema con la piña, para que nos quede un batido mucho más delicado, colaremos esta crema.. Mezclamos la piña con los huevos el azúcar y la leche. Sin dejar de remover dejamos que todos los ingredientes se mezclen en esta leche tropical. Incorporamos el zumo del limón y la naranja.. Ponemos de nuevo en el microondas o en un cazo. En el microondas deberá estar unos 6 minutos. Pasado este tiempo la leche tropical tendrá una consistencia adecuada.. Le añadimos hielo o la ponemos directamente en el congelador. Servimos muy fría con un poco de coco rallado por encima o unos trocitos de piña. Tendremos listo un batido de los que impresionan de forma fácil y rápida."
"Receta de buñuelos de cebolla, pepinillos y anchoas",2019-08-09 13:00:08+00:00,https://okdiario.com/recetas/receta-bunuelos-cebolla-pepinillos-anchoas-4456514/,100 gr de cebolla. 3 pepinillos en vinagre. 4 filetes de anchoas. 2 huevos. ½ vaso de cerveza. 1 limón. 100 gr de harina. Alcaparras. Ajo. Perejil. Aceite,"Estos buñuelos de cebolla, pepinillos y anchoas se preparar muy fácilmente, solo necesitamos hacernos con los ingredientes adecuados. Buscaremos aquellas conservas de mejor calidad que nos permitan cocinar de forma fácil y rápida un bocado impresionante.. Pelamos una cebolla y la cortamos en trocitos muy pequeñitos, para que nos queden unos buñuelos más delicados, ponemos la cebolla en la picadora.. Le incorporamos a esta cebolla los pepinillos en vinagre. Este ingrediente es una de las conservas más saludables que existen. Podemos disfrutar de las propiedades del pepinillo de la mano de una conserva a base de vinagre impresionante.. Le ponemos una cucharada sopera de alcaparras, el punto avinagrado de esta conserva potenciará aún más el sabor de los pepinillos.. Seguimos con el ajo pelado y cortado muy finito, el zumo de limón y la harina tamizada. Encendemos la picadora y vamos haciendo como una pasta repleta de sabor.. Ponemos las anchoas y la cerveza. Mezclamos con el resto y finalmente los huevos. Tendremos una masa que podemos dejar reposar unos minutos para que quede más finita.. Podemos poner la masa en el congelador para que coja consistencia. Pasados unos minutos, preparamos un nuevo batido y un poco de harina o pan rallado.. Haremos unas bolitas con las manos que pasaremos por el huevo y la harina. Freímos estos buñuelos con abundante aceite.. Cuando los tenemos dorados los vamos escurriendo. Colocamos sobre papel absorbente para que eliminen el exceso de aceite.. Colocamos en una fuente y servimos con un limón cortado y un poquito de mayonesa. Tendremos lista la tapa más sencilla y rápida que existe. Solo nos quedará probarla."
Receta de Merluza con gulas al ajillo,2019-08-09 12:00:05+00:00,https://okdiario.com/recetas/receta-merluza-gulas-ajillo-4457093/,4 lomos de merluza. 4 dientes de ajo. 200 gr de gulas. 1 guindilla. 1 cucharadita de vinagre de manzana. Sal y pimienta. Perejil picado. Aceite de oliva,"Cortar los dientes de ajo en láminas finas y la guindilla en tiras.. Calentar una sartén con dos cucharadas de aceite.. Rehogar el ajo y la guindilla durante tres minutos. . Agregar el perejil picado y el vinagre.. Cuando el ajo se vea dorado incorporar las gulas.. Salpimentar al gusto. Cocinar todo junto durante uno o dos minutos. Reservar.. En la misma sartén, añadir dos cucharadas más de aceite.. Marcar los lomos de merluza previamente salpimentados, durante cinco minutos de cada lado. Poner a punto de sal.. Servir la merluza con gulas al ajillo por encima. Acompañar con una ensalada verde."
Receta de carpaccio de ternera con salsa,2019-08-09 11:00:00+00:00,https://okdiario.com/recetas/receta-carpaccio-ternera-salsa-4456319/,1 kg de lomo de ternera. 1 limón. 2 tazas de mayonesa. Alcaparras. Pepinillos en vinagre. Perejil. Pimienta. Aceite de oliva. Sal,"Esta carne de ternera tiene sus secretos empezando por el tipo de corte. En la misma carnicería debemos pedir que nos corten un lomo preparado para esta finalidad, debe ser lo más tierno posible y sin demasiada grasa.. Pondremos la pieza de carne en el congelador y esperaremos que coja la temperatura adecuada para poder cortarla. En esencia el carpaccio es un plato ideal si tenemos prisa. Podemos incluso pedirlo cortado en la misma carnicería de esta manera solo tendremos que descongelarlo a la hora de comer.. Es importante que tenga el punto de frío adecuado para poder cortar el carpaccio en la medida adecuado, tan fino como una loncha de embutido. Unos minutos antes de servir el carpaccio lo pondremos a macerar.. Mezclamos el zumo de limón con el aceite. Batimos todo muy bien y lo ponemos por encima para que vaya cogiendo ese sabor tan marcado.. Mientras tenemos la carne macerando vamos a preparar una salsa. Ponemos en un bol las dos tazas de mayonesa. Le añadimos un poco de perejil picado. Mezclamos con dos cucharadas de alcaparras y de pepinillos cortados muy finitos. Esta base será la encargada de darle el carpaccio un sabor increíble.. Cuando tenemos todos los ingredientes preparados nos ponemos manos a la obra con el emplatado. Pondremos los filetes de carpaccio después de su maceración, salpimentamos al gusto.. Colocamos un poco de salsa por encima y acompañamos de unos trocitos de pan con más salsa. De esta forma tan sencilla habremos creado un plato fácil, rápido y delicioso a base de una carne muy especial. Atrévete a probarlo, es una auténtica delicia."
