url,title,date,ingredients,steps
https://www.recetas.com/acaraje.html,Acarajé,,," Acarajé

Proesar los frijoles aún secos y transfiera la mezcla a un tazón. Cubrir con agua fría y dejar en remojo durante 24 horas.

Después del tiempo indicado, mezclare los frijoles con las manos y recoger con una espumadera las pieles que hayan subido a la superficie. Luego escurrir las legumbres y procesarlas nuevamente hasta que se reduzcan a una crema.

Pelar la cebolla, quitarle los extremos y después de haberla picado grueso, pasarla también por el mixer. Agregar también el cilantro, una pizca de sal y procesar todo por última vez.

Calentar una capa generosa de aceite de cacahuete en una sartén y, una vez que hierva, depositar una cucharada de masa. Repetir la operación, limitándose a unos 5-6 cucharadas a la vez; dejarlos dorar un poco antes de darles la vuelta y dorar el otro lado.

Una vez listo, deja secar el acarajè sobre hojas de papel absorbente.

Consejos:

Asegúrate de escurrir y exprimir muy bien las alubias, para que la mezcla final no quede demasiado líquida.

Ideas y variaciones:

El acarajè se puede servir caliente o tibio. Para enriquecer el sabor, córtalos por la mitad y condimentar con unas gotas de Tabasco."
https://www.recetas.com/pan-de-queso-t0u.html,Pan de queso,,"170 ml de leche 75 ml de aceite de semillas 1 cdta. de sal 250 gr. de harina de tapioca 1 huevo 125 gr. de queso parmesano rallado

"," Pan de queso

Ponemos la leche, el aceite y la sal en un cazo y llevar a ebullición.

Cuando comience a hervir, retirar la cacerola del fuego y agregar la harina. Mezclar rápidamente.

Cuando la mezcla esté tierno y se despegue de las paredes de la cacerola, dejar que se enfríe un poco.

Ahora incorporar el huevo y revolver, agregar el queso parmesano y volver a mezclar.

Una vez que se tenga una masa compacta, formar bolitas. Acomodarlas en una fuente de horno forrada con papel pergamino.

Llevar al horno a 180°C por unos 25 minutos o hasta que estén doradas."
https://www.recetas.com/bobo-de-camarao-wkg.html,Bobó de camaráo,,"1 kg de mandioca 800 gr. de gambas 600 ml de agua 400 ml de agua de coco 100 gr. de puré de tomate 1 cebolla pequeña 1 diente de ajo 1 cda. de cúrcuma 20 hojas de cilantro 1/2 chile picante 50 ml de aceite de oliva v. e. 1 cda. de sal 1 lima

"," Bobó de camaráo

El bobó de camarão es un plato tradicional brasileño. Es una preparación sabrosa e inusual, simple de preparar y lista en media hora, para servir como primer plato o como plato único.

Pelar la mandioca con un cuchillo afilado y cortarla en trozos pequeños para facilitar su cocción. Lavar y limpiar las gambas, reservar las cabezas, y dejarlas marinar durante aproximadamente 30 minutos en la lima exprimida.

Cocinar las cabezas de camarones en 600 mililitros de agua durante unos 15 minutos. Filtrar el caldo así obtenido. Agregar la mandioca, la leche de coco y llevar a hervor. Cuando la mandioca esté cocida, pasarla por el mixer para obtener un puré. Si resulta ser demasiado espeso, agregar un cucharón de caldo de pescado que se habrá guardado oportunamente.

Triturar el ajo y saltear durante unos 3 minutos con el aceite, luego agregar la cebolla y la cúrcuma. Cuando la cebolla se haya rehogado, agregar el puré de tomate, el cilantro y el chile picante. Cocinar todo por unos 5 minutos.

Retirar las gambas de la lima, secarlas y agregarlas al puré de tomate, luego continuar cocinando durante unos minutos. Agregar el puré de mandioca, mezclar y servir.

Puede servirse caliente o tibio, tal vez acompañado con un bol de arroz hervido."
https://www.recetas.com/coxinha-la-receta-del-antipasto-brasileno.html,Coxinha: la receta del antipasto brasileño,,"300 gr. de pechuga de pollo 1 tallo de apio 2 cdas de puré de tomate Perejil picado Aceite de oliva v.e. Pimienta negra 1 zanahoria 1 cebolla 2 dientes de ajo 2 hojas de laurel Sal fina 50 gr. de harina Pan rallado 75 ml de leche entera 1 yema de huevo

"," Coxinha: la receta del antipasto brasileño

Cortar la pechuga de pollo en trozos pequeños. Cortar la cebolla, la zanahoria y el apio y verter la carne y las verduras en una cacerola alta. Agregar dos hojas de laurel y ajo. Verter agua hasta que los ingredientes estén cubiertos y agregar la sal. Hervir el pollo, luego escurrir y reservar el caldo. Picar el pollo con una procesadora.

Freír un diente de ajo con el aceite, agregar la mitad de una cebolla picada y, después de 10 minutos, agregar la salsa de tomate. Agregar el pollo picado y sazonar con sal y pimienta a gusto; aromatizar con perejil, luego reservar y enfriar.

Preparar la pasta que contendrá el relleno. Derretir la mantequilla en una sartén. Agregar el caldo de pollo reservado y verter la leche a temperatura ambiente y hacer hervir. Agregar la harina tamizada y revolver con un batidor, dejando que se cocine a fuego lento.

Cuando la masa esté seca, agregar la yema de huevo. Luego comenzar a dar forma a las coxinhas: retirar parte de la masa, agregar un poco de relleno y cerrar, dando forma de cono.

En un recipiente separado, preparar una pasta con leche y harina tamizada y sumergir cada cono en la masa y luego pasar por el pan rallado.

Poner el aceite al fuego y comenzar a freír. Cuando el empanado esté dorado, llevar a la mesa.

Consejos: Se pueden servir las coxinhas pinchándolas con palillos y envolviendo el extremo con papel de aluminio.

Las coxinhas se pueden guardar en el refrigerador y luego calentar en el horno. No se recomienda congelarlas."
https://www.recetas.com/pao-de-queijo.html,Pao de Queijo,,"300 ml de leche 1 o 2 cdtas. de sal 2 huevos 150 ml de aceite vegetal 500 gr. de harina de tapioca 250 gr. de queso rallado

"," Pao de Queijo

Encender el horno y ajustarlo a 180 ° con calor estático arriba y abajo. Forrar una bandeja para hornear con papel pergamino. Mientras tanto, verter la leche en una olla con aceite y sal y llevar a ebullición la mezcla.

Apagar el fuego tan pronto como la leche comience a hervir y agregar la harina de tapioca. Mezclar todo rápido. Tan pronto como la mezcla esté bien homogénea, desprenderla suavemente de las paredes y dejar enfriar.

Cuando la masa esté tibia, agregar de a un huevo a la vez y el queso, integrar hasta tener una mezcla bien amalgamada. Engrasarse las manos con aceite y comenzar a amasar, formando bolitas. Colocarlas en las placas bien separadas entre sí.

Llevar al horno durante unos 25 minutos, luego apagar y llevar los pancitos todavía calientes a la mesa.

Por lo general, estos pancitos se amasan en tamaños pequeños. Si desea servirlos como plato principal, por ejemplo para un buffet, se pueden preparar de un tamaño mayor. En este caso, se deberán duplicar las cantidades de la receta.

Conservación: Como cualquier tipo de pan, el pao de Queijo se puede almacenar en un lugar seco durante un par de días como máximo."
https://www.recetas.com/moqueca.html,Moqueca,,"800 gr. de pez espada, bacalao o platija 2 pimientos 4 tomates 2 cebollas 2 dientes de ajo Sal Pimienta Aceite de oliva v.e. 100 ml de leche de coco Perejil Cilantro Clavos de olor 1/2 vaso de jugo de limón

"," Moqueca

La moqueca es un sabroso plato de pescado y verduras típico de la cocina brasileña, una de las recetas más conocidas y apreciadas característica de la ciudad de Bahía, pero también de Rio Grande do Sul y, en general de todo el norte y noreste de Brasil. Este plato se distingue por la fuerte influencia de la tradición culinaria indígena africana.



Limpiar todas las verduras, cortar las cebollas en rodajas finas, los tomates en rebanados y los pimientos en tiras.



Preparar una emulsión con leche de coco, aceite de palma y jugo de limón. Colocar los filetes de pescado en un tazón, agregar los tomates, pimientos, cebolla, perejil picado, dientes de ajo, clavo de olor y humedecer con la emulsión. Dejar los filetes de pescado marinando durante aproximadamente 1 hora.

Transferir todos los ingredientes a una sartén y cocinar a fuego lento durante unos 30 minutos, dándoles vuelta de vez en cuando. Cocinar otros 5 minutos desde la ebullición y sazonar con sal y pimienta.

Servir la moqueca aún caliente completando con cilantro fresco y un hilo de aceite.

Variante de moqueca: Para hacer una moqueca aún más y sabrosa, utilizar bacalao y agregar gambas condimentadas con jengibre fresco."
https://www.recetas.com/bolo-de-maracuja-pastel-de-maracuya.html,Bolo de maracujá (pastel de maracuyá),,"4 huevos 100 gr. de aceite de maíz 6 frutos de la pasion o maracuja 240 gr. de harina 390 gr. de azúcar 1cdrta. de olvo de hornear 1 cda. de mantequilla

"," Bolo de maracujá (pastel de maracuyá)

Cortar la fruta de la pasión por la mitad y retirar la pulpa con una cuchaita.

Montar en un bol los huevos, el aceite, 300 gr. de azúcar y la pulpa de 4 frutas de la pasión, reservando el resto.

Incorporar gradualmente la harina tamizada con el polvo de hornear y pasar la mezcla a través de un tamiz para eliminar las semillas de la fruta de la pasión.

Engrasar con mantequilla un molde con aro central y espolvorearlo con harina; verter la mezcla y golpear el molde en la superficie de trabajo para que se asiente uniformemente.

Hornear en horno precalentado a 180 ° C durante unos cuarenta minutos: el pastel estará listo cuando, al introducir un palillo, salga seco.

Dejear enfriar y desmoldar en un plato de servir.

Mientras tanto, hervir la pulpa de las 2 frutas de la pasión reservadas junto con la mantequilla y el azúcar restantes (90 gr.). Tan pronto como la salsa esté almibarada, verter sobre el pastel."
https://www.recetas.com/pan-de-queso-5j9.html,Pan de queso,,"1 kg de almidón de yuca 4 huevos 1 cucharada sopera de sal 250 ml de aceite 350 ml de leche 300 g de queso tipo grana padano

"," Pan de queso

En un recipiente grande, colocar el almidón de yuca y reservar.

Calentar el aceite, retirar del fuego y agregar casi toda la leche y la sal.

Añadir poco a poco el almidón, frotando la mezcla con el dorso de una cuchara. Amasar.

Hacer un hueco en la masa y colocar los huevos. Tomar el punto con la leche fría restante y colocar el queso. Dejar reposar la masa en el refrigerador por 3 horas.

Bollear la masa; cada pan de queso debe pesar unos 80 gramos.

Hornear a 200° C. Después de que crezcan, bajar la temperatura a 100º C y dejar el pan de queso en el horno hasta que se seque."
https://www.recetas.com/bobo-de-camarao-8lw.html,Bobó de camarão,,"1 kg de mandioca 800 gr. de gambas 600 ml de agua 400 ml de leche de coco 100 gr. de salsa de tomate 1 cebolla pequeña 1 diente de ajo 1 cda. de cúrcuma 20 hojas de cilantro 1/2 chile picante 50 ml de aceite de oliva virgen extra 1 cda. de sal 1 lima

"," Bobó de camarão

Pelar la mandioca con un cuchillo afilado y cortarla en trozos pequeños para facilitar la cocción. Lavar y limpiar las gambas, reservando las cabeza; dejar las gambas en remojo durante unos 30 minutos en la lima exprimida.



Cocinar las cabezas de gambas en 600 mililitros de agua durante aproximadamente 15 minutos. Filtrar el caldo así obtenido, reservando un par de cucharadas. Agregar la mandioca y la leche de coco, y llevar a ebullición. Cuando la mandioca esté cocida, procesarla para obtener un puré. Si resultara demasiado espeso, agregar un cucharón de caldo de pescado que se haya reservado.

Picar el ajo y freír durante unos 3 minutos con el aceite, luego agregar la cebolla y la cúrcuma. Cuando la cebolla esté rehogada, agregar la salsa de tomate, el cilantro y la guindilla. Cocinar por unos 5 minutos.

Sacar las gambas de la lima, secarlas y agregarlas a la salsa de tomate, luego continuar cocinado durante unos minutos. Agregar el puré de mandioca revolver y servir. Se acompaña con un tazón de arroz hervido y al natural."
https://www.recetas.com/sopa-crema-de-pimientos-con-frijoles-negros-y-leche-de-coco.html,Sopa crema de pimientos con frijoles negros y leche de coco,,"500 gr. de pimientos limpios 250 gr. de tomates cherry 200 gr. de frijoles negros crudos 50 gr. de harina de garbanzo 200 gr. de leche de coco 1/2 cebolla roja 1 diente de ajo Pimienta Comino Curry Aceite de oliva virgen extra Sal

"," Sopa crema de pimientos con frijoles negros y leche de coco

En un recipiente grande remojar los frijoles cubiertos con agua durante toda la noche.

Tras el remojo, poner los frijoles en una olla, cubrirlos con agua fría y añadir unas hojas de laurel. Cuando rompa hervor, añadir sal y cocer durante al menos una hora, hasta que las legumbres estén blandas.

Lavar y limpiar los pimientos retirándoles la semillas, el tallo y las áreas blancas de dentro, luego cortar en trozos. Hacer lo mismo con los tomates.

Después de rehogar en una sartén lla cebolla y el ajo picados junto con los aromas, incorporar las verduras restantes y cocer a fuego lento hasta que estén muy suaves, agrgando líquido de vez en cuando si llegaran a secarse demasiado. Sazonar a gusto con la sal.

Cuando las verduras estén casi cocidas, añadir un par de cucharadas de leche de coco y cocinar unos minutos antes de apagar el fuego. Verter la mezcla en un recipiente adecuado y procesar con un mixer hasta obtener una crema fluida pero firme. Si quedara ser demasiado líquida, agregar harina garbanzos según se requiera.

Servir la sopa decorándola con la leche de coco restante y con la guarnición de frijoles. Dar brillo con un poco de aceite y perfumar con un poco de cebollin o hierbas al gusto."
