url,title,ingredients,steps
https://www.recetasnestle.com.co/recetas/caldo-de-costilla,Caldo de costilla,"   6 tazas de agua      2 tallos de cebolla larga, finamente picada incluyendo la parte verde (30 g)      1 rama de cilantro, fresco (10 g)      1 cubo de CALDO CON COSTILLA MAGGI® (10 g)      1 libra de costilla de res magra,  cortada en  4 trozos (500 g)      1 libra de papa pastusa pelada y cortada en trozos (500 g)  ","    1.  En una olla a presión añade el agua, una cucharada de la cebolla larga finamente picada, la rama de cilantro, el cubo de CALDO CON COSTILLA MAGGI® y la costilla de res. Cierra la olla,  lleva a fuego alto y cocina por 20 minutos.                  2.  Destapa la olla con cuidado, lleva nuevamente al fuego, agrega la papa partida en trozos grandes y cocina por 15 minutos más o hasta que la papa este bien blandita.                  3.  Sirve el caldo de papa con costilla y encima pon la cebolla restante.             "
https://www.recetasnestle.com.co/recetas/caldo-de-papa-con-costilla,Caldo de papa con costilla,"   5 tazas de agua (1200 ml)      1 cubo de CALDO CON COSTILLA MAGGI® (11 g)      1 libra de costilla de res magra cortada en 4 trozos ( 500 g)      2 libras de papa pastusa pelada y cortada en trozos (1000 g)      1 cucharada de cilantro finamente picado (10 g)      1 tallo de cebolla larga, finamente picada incluyendo la parte verde (15 g)  ","    1.  En una olla a presión añade el agua, el cubo de CALDO CON COSTILLA MAGGI®  y la costilla de res. Cierra la olla, lleva a fuego alto y cocina por 20 minutos.                  2.  Destapa la olla con cuidado, lleva nuevamente al fuego, agrega la papa, partida en trozos  y cocina por 15 minutos mas o hasta que la papa esté bien blandita.                  3.  Corta finamente la cebolla larga y el cilantro, mezcla en un tazón y reserva hasta el momento de servir.                  4.  Sirve el caldo de papa con costilla y encima pon el picadillo de cebolla y cilantro.             "
https://www.recetasnestle.com.co/recetas/batido-de-guayaba-con-leche-klim-deslactosada,Batido de guayaba con leche KLIM® Deslactosada,   1 guayaba madura (110 g)      1 vaso de agua (100 ml)      ½ vaso de hielo (100 g)      6 cucharadas de Leche en polvo KLIM® Deslactosada y semidescremada (48 g)      1 cucharada de Leche condensada LA LECHERA® (20 g)  ,    1.  Licúa todos los ingredientes hasta integrar bien.                  2.  Cuela para retirar el exceso de semilla.                  3.  Sirve.             
https://www.recetasnestle.com.co/recetas/batido-de-guayaba-y-leche-klim,Batido de guayaba con leche KLIM®,   1 guayaba madura (110 g)      ¼ de vaso de agua (50 ml)      ½ vaso de hielo (100 g)      3 cucharadas de Leche en polvo KLIM® Clásica (24 g)      1/2 cucharadita de chocolate semiamargo rallado (2.5 g)  ,    1.  Licúa todos los ingredientes hasta integrar bien.                  2.  Cuela para retirar el exceso de semilla.                  3.  Sirve y decora con el chocolate rallado encima.             
https://www.recetasnestle.com.co/recetas/batido-de-pera-y-manzana,Batido mágico de pera y manzana,   1/2 pera verde con piel (80 g)      1/2  manzana verde con piel (80 g)      6 cucharadas de Leche en polvo KLIM® Clásica (48 g)      1 vaso de agua bien fría (210 ml)  ,    1.  Licúa todos los ingredientes por 40 segundos o hasta integrar bien.                  2.  Sirve y disfruta tu bebida.             
https://www.recetasnestle.com.co/recetas/limonada-de-coco,Limonada de coco,   Zumo y ralladura de 1 limón (48 g)      1 vaso de bebida de coco sin azúcar NATURE´S HEART® (210 ml)      6 cucharadas de Leche en polvo KLIM® Clásica (48 g)      ½ vaso de hielo triturado (100 ml)      1 cucharada de LECHE CONDENSADA LA LECHERA®  Light  ,"    1.  Añade al vaso de la licuadora el zumo de limón, la bebida de coco NATURE´S HEART®, la Leche en polvo KLIM® Clásica, el hielo  y la LECHE CONDENSADA LA LECHERA® Light, licúa por 10 segundos o hasta integrar.                  2.  Sirve en dos vasos en porciones iguales, decora con la ralladura de limón, sirve y disfruta.             "
https://www.recetasnestle.com.co/recetas/batido-de-maracuya,Batido de maracuyá,   1/2 taza de zumo de maracuyá (120 ml)      1/2 taza de hielo      6 cucharadas de KLIM® Clásica (48 g)      1 cucharada de LECHE CONDENSADA LA LECHERA®   Light (20 g)  ,    1.  Licúa todos los ingredientes por 20 segundos o hasta integrar                  2.  Sirve y disfruta.             
https://www.recetasnestle.com.co/recetas/pan-de-queso-de-colores,Pandequeso de colores,   6 cucharadas de KLIM® (42 g)      1 o 2 gotas de colorante rojo comestible (1 g)      2 huevos (100 g)      2 cucharadas de aceite vegetal (28 g)      1 y 1/2  tazas de almidón de yuca (180 g)      6 cucharadas de queso campesino rallado (60 g)  ,"    1.  Precalienta el horno a 200°C/360°F, 10 minutos antes de la preparación.                  2.  En un tazón, adiciona la leche KLIM®, las gotas de colorante rojo, los huevos, el aceite, el almidón de yuca y el queso, con la ayuda de un tenedor o batidor de mano bate para integrar.                  3.  Vierte la mezcla en los moldes de muffins, previamente engrasados teniendo cuidado de no llenar mucho ya que ellos crecen en el horno.                  4.  Hornea a 180°C por 20 minutos aproximadamente o hasta que estén bien dorados. asegúrate de no abrir el horno mientras los pandequesos se estén horneando, porque puede que no crezcan.             "
https://www.recetasnestle.com.co/recetas/smoothie-de-manzana-verde,Smoothie de manzana verde,"   1 manzana verde, con piel y cortada en trozos pequeños (180 g)      1/2 vaso de vaso de agua (120 ml)      ½ vaso de hielo (100 g)      6 cucharadas de alimento lácteo KLIM® FORTICRECE® (52 g)  ",    1.  Licúa todos los ingredientes por 40 segundos o hasta integrar bien.                  2.  Sirve y decora con trozos de manzana encima.             
https://www.recetasnestle.com.co/recetas/batido-de-banano-y-fresa,Batido de banano y fresa,   1 banano sin piel y congelado (114 g)      3 fresas congeladas (21 g)      6 cucharadas de Leche en polvo KLIM® Clásica (48 g)      1 vaso de agua (200 ml)      2 fresas frescas para decorar (14 g)  ,"    1.  Licúa todos los ingredientes por 20 segundos o hasta integrar bien.                  2.  Retira la parte verde de la fresa con cuidado. Corta la fresa en láminas delgadas. Sirve tu bebida, en el centro pon la parte verde y alrededor distribuye las láminas de fresa para formar una flor.                  3.  Disfruta tu bebida.             "
https://www.recetasnestle.com.co/recetas/granizado-durazno-y-pina,Frappé de durazno y piña,   1/2 rodaja mediana de piña (44 g)      1 durazno pequeño sin piel  y cortado en trozos (50 g)      3 cucharadas de KLIM® FORTICRECE (26 g)      ½ vaso de hielo (100 ml)      1/2 cucharadita de chips de chocolate (2.5 g)  ,"    1.  Licúa todos los ingredientes por 20 segundos o hasta integrar.                  2.  Sirve, decora con los chips de chocolate  y disfruta.             "
https://www.recetasnestle.com.co/recetas/bol-de-naranja-y-cereal,Bowl de naranja y cereal,   1/2 vaso de jugo de naranja (90 ml)      6 cubos de hielo      1 cucharada colmada de avena en hojuelas (5 g)      3 cucharadas de Leche en polvo KLIM® Clásica (24 g)      1/2 taza de cereal CHOCAPIC® (20 g)  ,"    1.  Licúa el jugo de naranja, el hielo,  la avena y la Leche en polvo KLIM® Clásica por 20 segundos o hasta integrar bien.                  2.  Sirve en un plato o taza honda y encima pon el cereal CHOCAPIC® y disfruta.             "
https://www.recetasnestle.com.co/recetas/cupcakes-frios-de-cereal-y-yogurt,Cupcakes fríos de cereal y yogurt,"   3/4 de taza de cereal FITNESS® Original (30 g)      6 cucharadas de Leche en polvo KLIM® Clásica (48 g), preparada en ½ de taza de agua      ½ taza de yogurt griego (123 g)      4 fresas cortadas en trozos (28 g)  ","    1.  En un tazón mezcla, el cereal, la leche en polvo KLIM® Clásica preparada, el yogurt y las fresas.                  2.  Distribuye la mezcla en moldes para cupcakes y lleva al congelador por 4 horas o preferiblemente de un día para otro.             "
